ambil air,ma ar
ambil baju,ma ladan
ambil barang,ma mana sa
ambil batu,ma watu
ambil buah,ma woi
ambil buku,ma buk
ambil cangkir,ma moak 
ambil celana,ma kada 
ambil daun,ma kairu
ambil garam,ma sira 
ambil garpu,ma forok
ambil gelas,ma galas
ambil gitar,ma juk
ambil handuk,ma handuk
ambil helm,ma helem
ambil kayu,ma kai
ambil kertas,ma kartas
ambil kiriman ,ma fingkatu
ambil kue,ma kukis
ambil linggis,ma suan 
ambil mangkuk,ma basi kua
ambil obat ,ma mofun
ambil pakaian ,ma ladan
ambil paku,ma paku
ambil palu,ma resan
ambil panci,ma panci
ambil parang,ma peda
ambil pena,ma kalam
ambil piring ,ma bingan
ambil pisau,ma turit
ambil sekop,ma skop
ambil sendal,ma sandal
ambil sendok,ma sisiru
ambil sepatu ,ma sapatu
ambil sisir,ma sisir
ambil surat,ma surat
ambil tas,ma tas
ambil tisu,ma tisu
ambil wajan,ma kalin
bahasa ambon,minak ambon
bahasa arab,minak arab
bahasa belanda,minak walanda
bahasa geser,minak geser
bahasa gorom,minak goran
bahasa indonesia ,minak indonesia
bahasa jepang,minak japang
bahasa mandarin,minak cina
bahasa prancis ,minak parancis
belajar aljabar,balajar aljabar
belajar bahasa,balajar minak 
belajar beradaptasi,balajar nai bisa mian nai tompat woun
belajar berbagi,balajar figuan
belajar berbicara ,balajar da sabi
belajar berempati,balajar nai fituin mancian woun
belajar berenang,balajar ngangu
belajar berjalan,balajar na tagi
belajar berkebun,balajar da wei tana
belajar berkerja,balajar karja
belajar berkomunikasi,balajar sinabi ra 
belajar berlari,balajar falaru
belajar bermain ,balajar lenga
belajar berpikir,balajar fikir
belajar bersabar,balajar sabar a
belajar bersyukur,balajar syukur 
belajar bertanya,balajar fikutan
belajar biologi,balajar ilmu alam
belajar catur ,balajar catur
belajar displin,balajar lenga tu waktu ra tei
belajar fisika,balajar fisika
belajar komputer,balajar komputer 
belajar mancing,belajar subelat
belajar matematika ,balajar berhitung 
belajar memaafkan,balajar ta gafin
belajar memanah,balajar fana-fanak a
belajar memasak,balajar firakan
belajar membaca,balajar baca
belajar memimpin,balajar na pimpin 
belajar menari,balajar sula
belajar mencintai,balajar na fituin
belajar mendengarkan ,balajar na rongar
belajar mengaji,balajar sibur
belajar mengemudi ,balajar nodi ulin
belajar menggambar,balajar garis-garis 
belajar menghitung,balajar firekin
belajar menjahit,balajar firait
belajar menulis,balajar tulis
belajar menyanyi,balajar manyanyi
belajar olahraga ,balajar olahraga 
buah apel,apel 
buah durian,duran
buah jambu,jambu
buah kelapa,niu
buah leci,leci 
buah mangga,ayai
buah manggis,manggustan
buah matang,woi nabar
buah pepaya,udicastela
buah rambutan,rambutan
buah semangka,tumin
buah sirsak,duran walanda
gemar belajar,na suka balajar
gemar berenang,na suka ngangu
gemar bermain,na suka lenga
gemar makan,na suka fanga
gemar mandi,na suka sou
gemar menyanyi,na suka manyanyi
gemar minum,na suka minu
gemar pergi,na suka tagi
ingin belajar,mau balajar
ingin berlari,mau falaru
ingin berteriak,mau gurait
ingin cinta,mau fituin
ingin hidup,mau na liu
ingin kecewa,mau laminoa na geit
ingin lari,mau falaru
ingin makan,mau fanga
ingin mandi,mau sou
ingin marah,mau sia
ingin mati,mau mata
ingin melihat,mau kilangar
ingin membaca,mau baca
ingin menangis,mau tangis
ingin mendengar,mau rongar
ingin mengajar,mau fakturu
ingin menulis,mau tulis
ingin minum,mau minu
ingin muntah,mau luak
ingin rindu,mau marasai
ingin sakit,mau masingat
ingin sedih,mau masgul
ingin tidur,mau kifit
makan anggur,ka anggur
makan apel,ka apel
makan ayam,ka manuk
makan babi,ka boi
makan buah,ka woi
makan buaya,ka wai
makan daging,ka daging
makan dodol,ka dodol
makan domba,ka domba 
makan gurita,ka kurit
makan ikan,ka ikan
makan kacang,ka kacang
makan kambing,ka bibi
